       magilla    MFPRT(31DEC13)     745               09-NOV-2015   22:15:34               Page    1
 Row #      Plane     Peak int      X-offset      Y-offset     Err peak    Err X-off    Err Y-off    Resid rms     Velocity
           pixels      Jy/beam           mas           mas      Jy/beam          mas          mas           Jy         km/s
 
*****   MF file version = 1    V255U LINE2 .ICL001. 1   *****
 
   114     74.000        0.080       -68.117       -54.263        0.014        0.559        0.478        0.012     -499.735
   115     74.000        0.059      -374.222      -610.771        0.014        0.759        0.648        0.012     -499.735
   116     75.000        0.141       -73.355       -47.493        0.014        0.313        0.268        0.013     -500.488
   117     75.000        0.131       -27.062       -35.522        0.014        0.336        0.287        0.012     -500.488
   118     76.000        0.553       -27.139       -35.658        0.014        0.078        0.067        0.032     -501.241
   119     76.000        0.144       -36.312       -36.364        0.014        0.302        0.258        0.019     -501.241
   120     77.000        1.707       -26.668       -35.496        0.015        0.028        0.024        0.034     -501.995
   121     77.000        0.243       -25.774       -43.342        0.015        0.195        0.167        0.032     -501.995
   122     77.000        0.141       -37.541       -36.896        0.015        0.336        0.287        0.019     -501.995
   123     77.000        0.096         5.527       152.107        0.015        0.493        0.421        0.015     -501.995
   124     77.000        0.033      -531.319      -603.706        0.015        1.450        1.239        0.022     -501.995
   125     78.000        4.152       -26.636       -35.255        0.019        0.015        0.012        0.054     -502.748
   126     78.000        0.427       -27.517       -43.435        0.019        0.141        0.121        0.042     -502.748
   127     78.000        0.301       -37.902       -37.211        0.019        0.201        0.172        0.026     -502.748
   128     78.000        0.077       200.626       -27.215        0.019        0.782        0.668        0.018     -502.748
   129     78.000        0.070       -63.769       -67.952        0.019        0.858        0.733        0.023     -502.748
   130     78.000        0.069       -56.439        -5.373        0.019        0.870        0.743        0.022     -502.748
   131     79.000        7.179       -26.476       -35.114        0.027        0.012        0.010        0.110     -503.502
   132     79.000        0.584       -28.565       -42.767        0.027        0.148        0.126        0.079     -503.502
   133     79.000        0.107       240.206      -607.172        0.027        0.805        0.688        0.036     -503.502
   134     80.000        9.764       -26.401       -35.011        0.037        0.012        0.010        0.120     -504.255
   135     80.000        0.904       -28.100       -42.675        0.037        0.130        0.111        0.120     -504.255
   136     81.000       12.095       -26.362       -34.888        0.045        0.012        0.010        0.141     -505.008
   137     81.000        1.624       -29.048       -42.720        0.044        0.096        0.082        0.158     -505.008
   138     81.000        0.451        -2.321       -13.334        0.045        0.318        0.272        0.056     -505.008
   139     81.000        0.140         0.726       -16.631        0.044        1.118        0.956        0.071     -505.008
   140     81.000        0.110       476.361      -611.746        0.045        1.306        1.116        0.037     -505.008
   141     81.000        0.074       486.058      -611.753        0.045        1.927        1.647        0.042     -505.008
   142     81.000        0.059       478.521      -605.132        0.045        2.446        2.090        0.040     -505.008
   143     82.000       13.676       -26.345       -34.991        0.057        0.013        0.011        0.253     -505.762
   144     82.000        3.513       -30.367       -42.916        0.057        0.052        0.044        0.267     -505.762
   145     82.000        0.477        -1.770       -14.695        0.057        0.383        0.327        0.077     -505.762
   146     82.000        0.160       477.039      -608.122        0.057        1.144        0.978        0.066     -505.762
   147     82.000        0.102       485.423      -610.729        0.057        1.783        1.524        0.050     -505.762
   148     83.000       14.955       -26.400       -35.011        0.074        0.016        0.014        0.332     -506.515
   149     83.000        6.657       -31.063       -43.100        0.074        0.036        0.030        0.386     -506.515
   150     83.000        0.500        -2.117       -14.356        0.074        0.474        0.405        0.101     -506.515
   151     83.000        0.331       497.345      -577.836        0.074        0.717        0.612        0.073     -506.515
   152     83.000        0.325       507.917      -584.937        0.074        0.730        0.624        0.080     -506.515
   153     83.000        0.280       575.601      -611.080        0.074        0.846        0.723        0.074     -506.515
   154     83.000        0.258       567.166      -609.859        0.074        0.918        0.784        0.046     -506.515
   155     83.000        0.214       523.432      -605.856        0.074        1.109        0.948        0.062     -506.515
   156     83.000        0.211       489.657      -564.015        0.074        1.124        0.960        0.075     -506.515
   157     83.000        0.198       499.443      -587.276        0.074        1.196        1.022        0.073     -506.515
   158     83.000        0.176       518.424      -613.806        0.074        1.347        1.151        0.057     -506.515
   159     83.000        0.174       561.923      -602.476        0.074        1.363        1.165        0.048     -506.515
   160     83.000        0.159       515.278      -602.157        0.074        1.489        1.272        0.078     -506.515
   161     84.000       15.494       -26.388       -35.084        0.088        0.018        0.016        0.449     -507.268
   162     84.000       10.645       -31.293       -43.407        0.088        0.027        0.023        0.452     -507.268
   163     84.000        0.576       -95.565       -97.814        0.088        0.491        0.420        0.120     -507.268
       magilla    MFPRT(31DEC13)     745               09-NOV-2015   22:15:34               Page    4
 Row #      Plane     Peak int      X-offset      Y-offset     Err peak    Err X-off    Err Y-off    Resid rms     Velocity
           pixels      Jy/beam           mas           mas      Jy/beam          mas          mas           Jy         km/s
 
   164     84.000        0.520        -1.813       -15.472        0.088        0.545        0.466        0.120     -507.268
   165     85.000       14.833       -26.397       -34.952        0.097        0.021        0.018        0.368     -508.022
   166     85.000       12.094       -32.080       -43.684        0.097        0.026        0.022        0.377     -508.022
   167     85.000        2.954       -27.659       -43.125        0.096        0.115        0.098        0.338     -508.022
   168     86.000       15.596       -31.704       -43.775        0.100        0.023        0.019        0.425     -508.775
   169     86.000       13.532       -26.334       -34.867        0.101        0.024        0.020        0.392     -508.775
   170     86.000        1.176       -24.693       -43.278        0.101        0.275        0.235        0.405     -508.775
   171     87.000       19.089       -31.611       -43.993        0.100        0.017        0.014        0.684     -509.528
   172     87.000       11.613       -26.321       -34.888        0.100        0.028        0.024        0.595     -509.528
   173     87.000        0.696       -95.556       -98.551        0.100        0.463        0.395        0.132     -509.528
   174     88.000       19.807       -31.648       -44.159        0.100        0.016        0.014        0.609     -510.282
   175     88.000        8.257       -26.192       -34.772        0.100        0.039        0.033        0.505     -510.282
   176     88.000        1.153       -13.932       -18.756        0.100        0.279        0.239        0.126     -510.282
   177     88.000        0.712       -95.803       -98.901        0.100        0.452        0.386        0.127     -510.282
   178     88.000        0.582       -32.313      -112.339        0.100        0.553        0.472        0.120     -510.282
   179     88.000        0.265       -18.280       -13.722        0.099        1.326        1.133        0.121     -510.282
   180     89.000       18.605       -31.831       -44.223        0.097        0.017        0.014        0.464     -511.035
   181     89.000        5.016       -25.966       -34.670        0.097        0.062        0.053        0.367     -511.035
   182     89.000        1.937       -13.707       -18.752        0.097        0.161        0.138        0.133     -511.035
   183     89.000        1.065       -15.490       -16.021        0.096        0.319        0.273        0.144     -511.035
   184     90.000       15.561       -32.138       -44.224        0.085        0.018        0.015        0.376     -511.788
   185     90.000        4.419       -13.875       -17.593        0.084        0.067        0.057        0.195     -511.788
   186     90.000        2.914       -26.005       -34.435        0.085        0.094        0.080        0.286     -511.788
   187     90.000        1.529        -6.983       -14.780        0.085        0.178        0.152        0.237     -511.788
   188     90.000        0.587       -32.257      -112.862        0.085        0.464        0.397        0.100     -511.788
   189     90.000        0.367       -52.962      -203.662        0.084        0.810        0.692        0.098     -511.788
   190     90.000        0.342       -47.950      -201.334        0.085        0.798        0.682        0.086     -511.788
   191     90.000        0.142       -24.549      -112.164        0.084        2.087        1.783        0.104     -511.788
   192     91.000       12.090       -32.272       -44.292        0.076        0.020        0.017        0.398     -512.542
   193     91.000        7.311       -13.780       -17.610        0.076        0.033        0.028        0.279     -512.542
   194     91.000        3.379        -8.595       -13.130        0.076        0.072        0.061        0.315     -512.542
   195     91.000        0.573        16.281         9.387        0.076        0.424        0.362        0.081     -512.542
   196     91.000        0.369       -25.558       -44.428        0.076        0.659        0.563        0.356     -512.542
   197     91.000        0.353       -51.338       -10.006        0.076        0.688        0.588        0.114     -512.542
   198     92.000        8.127       -14.017       -17.287        0.064        0.025        0.022        0.102     -513.295
   199     92.000        7.856       -32.484       -44.303        0.064        0.026        0.022        0.238     -513.295
   200     92.000        5.478        -8.732       -12.551        0.064        0.037        0.032        0.077     -513.295
   201     92.000        1.498        -8.262       -19.050        0.063        0.149        0.127        0.073     -513.295
   202     92.000        0.256       607.324      -604.332        0.064        0.800        0.683        0.082     -513.295
   203     92.000        0.194       554.091      -609.937        0.064        1.055        0.901        0.052     -513.295
   204     92.000        0.179       564.261      -613.106        0.064        1.144        0.977        0.061     -513.295
   205     92.000        0.104       558.451      -602.061        0.064        1.969        1.683        0.053     -513.295
   206     92.000        0.069       598.658      -604.764        0.064        2.962        2.531        0.095     -513.295
   207     93.000        9.093       -13.168       -17.438        0.050        0.017        0.015        0.289     -514.048
   208     93.000        7.455        -8.425       -12.831        0.050        0.021        0.018        0.320     -514.048
   209     93.000        3.956       -32.916       -44.114        0.050        0.040        0.034        0.133     -514.048
   210     93.000        0.611       -40.014       -38.909        0.050        0.260        0.222        0.104     -514.048
   211     93.000        0.497        16.751         9.642        0.050        0.320        0.274        0.069     -514.048
   212     94.000        8.523       -12.916       -17.173        0.045        0.017        0.015        0.230     -514.802
   213     94.000        8.334        -8.471       -12.680        0.045        0.017        0.015        0.235     -514.802
   214     94.000        1.311       -33.167       -43.739        0.045        0.121        0.103        0.057     -514.802
   215     94.000        0.478       -40.122       -38.980        0.045        0.304        0.260        0.065     -514.802
   216     94.000        0.138       551.571      -610.248        0.045        1.056        0.902        0.043     -514.802
   217     94.000        0.130       559.504      -612.597        0.045        1.114        0.952        0.044     -514.802
   218     94.000        0.104       605.001      -605.123        0.045        1.390        1.187        0.059     -514.802
       magilla    MFPRT(31DEC13)     745               09-NOV-2015   22:15:34               Page    5
 Row #      Plane     Peak int      X-offset      Y-offset     Err peak    Err X-off    Err Y-off    Resid rms     Velocity
           pixels      Jy/beam           mas           mas      Jy/beam          mas          mas           Jy         km/s
 
   219     94.000        0.102       556.324      -602.649        0.045        1.422        1.216        0.050     -514.802
   220     95.000        7.736        -8.440       -12.624        0.038        0.016        0.014        0.162     -515.555
   221     95.000        7.589       -12.584       -16.969        0.038        0.016        0.014        0.152     -515.555
   222     95.000        0.454       -39.577       -39.216        0.038        0.296        0.253        0.050     -515.555
   223     95.000        0.386       -33.614       -43.271        0.038        0.320        0.273        0.041     -515.555
   224     95.000        0.155       555.565      -612.300        0.038        0.798        0.682        0.039     -515.555
   225     95.000        0.124       377.074      -609.442        0.038        0.994        0.850        0.031     -515.555
   226     95.000        0.106       368.997      -611.440        0.038        1.264        1.080        0.037     -515.555
   227     95.000        0.073       368.225      -603.553        0.038        1.685        1.439        0.038     -515.555
   228     96.000        6.318        -8.326       -12.565        0.028        0.014        0.012        0.106     -516.309
   229     96.000        6.119       -12.236       -16.785        0.028        0.015        0.012        0.089     -516.309
   230     96.000        0.082       612.892      -565.830        0.028        1.088        0.930        0.031     -516.309
   231     96.000        0.072         4.404      -610.978        0.028        1.235        1.055        0.029     -516.309
   232     97.000        4.244        -8.254       -12.443        0.024        0.018        0.015        0.058     -517.062
   233     97.000        4.207       -12.100       -16.616        0.024        0.018        0.016        0.045     -517.062
   234     97.000        0.057      -433.610      -599.888        0.024        1.352        1.155        0.023     -517.062
   235     98.000        2.515        -8.210       -12.498        0.017        0.024        0.020        0.046     -517.815
   236     98.000        1.955       -12.415       -16.599        0.017        0.028        0.024        0.038     -517.815
   237     99.000        1.319        -7.448       -12.156        0.015        0.041        0.035        0.027     -518.569
   238     99.000        0.596       -12.652       -16.252        0.015        0.083        0.071        0.025     -518.569
   239     99.000        0.309        -3.672        -4.247        0.015        0.159        0.136        0.031     -518.569
   240    100.000        0.978        -4.217        -4.526        0.016        0.054        0.046        0.021     -519.322
   241    100.000        0.568        -6.360       -12.419        0.016        0.093        0.079        0.029     -519.322
   242    100.000        0.156       -12.989        -7.770        0.016        0.368        0.315        0.024     -519.322
   243    100.000        0.100      -608.993      -612.151        0.016        0.523        0.447        0.013     -519.322
   244    100.000        0.076       591.768       111.880        0.016        0.691        0.590        0.017     -519.322
   245    101.000        2.045        -4.343        -4.473        0.017        0.026        0.022        0.035     -520.075
