       magilla    MFPRT(31DEC13)     745               12-AUG-2015   13:10:39               Page    1
 Row #      Plane     Peak int      X-offset      Y-offset    Err peak i    Err X-off    Err Y-off    Resid rms     Velocity
           pixels      Jy/beam           mas           mas       Jy/beam          mas          mas           Jy         km/s
 
*****   MF file version = 1    V255R LINE2 .ICL001. 1   *****
 
   113   1351.000       57.167         0.015         0.164         0.930        0.042        0.044        0.547     -531.350
   114   1352.000       19.790         0.076         0.283         0.456        0.059        0.062        0.441     -531.761
   115   1358.000       13.553      -612.423       154.736         0.653        0.157        0.212        0.342     -534.227
   116   1359.000       17.618      -612.266       155.737         0.770        0.143        0.183        0.396     -534.638
   117   1360.000       20.891      -612.229       156.826         0.834        0.131        0.160        0.464     -535.049
   118   1361.000       20.073      -611.996       157.088         0.678        0.108        0.149        0.614     -535.460
   119   1362.000       12.466      -613.771       160.499         0.724        0.287        0.339        0.719     -535.871
   120   1363.000       23.213        43.301       -96.818         0.808        0.104        0.100        2.083     -536.282
   121   1364.000       55.100        42.987       -96.716         1.320        0.068        0.069        1.429     -536.693
   122   1364.000       10.554        51.459      -105.492         1.299        0.441        0.426        1.402     -536.693
   123   1364.000        9.943       612.536      -410.772         1.222        0.572        0.714        0.856     -536.693
   124   1365.000       78.785        42.921       -96.898         1.783        0.066        0.067        1.770     -537.104
   125   1365.000       16.421        49.366      -103.957         1.784        0.284        0.270        2.113     -537.104
   126   1366.000       93.230        42.876       -97.088         2.053        0.065        0.067        2.041     -537.515
   127   1366.000       23.108        49.005      -103.759         2.059        0.206        0.208        2.039     -537.515
   128   1366.000       12.245       614.094      -411.304         1.900        0.850        0.815        1.417     -537.515
   129   1366.000       10.132       142.246       -97.022         2.001        0.669        0.674        0.769     -537.515
   130   1367.000       92.073        42.856       -97.271         2.301        0.075        0.077        2.541     -537.926
   131   1367.000       27.312        49.315      -103.761         2.311        0.189        0.197        2.448     -537.926
   132   1367.000        9.112       118.633      -201.937         2.135        1.166        1.312        2.271     -537.926
   133   1368.000       77.101        43.389       -97.978         2.389        0.105        0.103        5.560     -538.337
   134   1368.000       14.808       613.032      -413.587         2.256        0.729        0.891        1.885     -538.337
   135   1368.000       14.322       367.275      -348.142         2.347        0.617        0.591        1.955     -538.337
   136   1368.000       11.738       522.788      -361.291         2.263        0.879        1.059        1.697     -538.337
   137   1368.000       10.955       570.206      -359.125         2.290        0.884        0.935        1.521     -538.337
   138   1369.000       66.548        44.450       -99.120         2.343        0.157        0.149        3.939     -538.748
   139   1369.000       37.821       367.295      -348.707         2.403        0.217        0.208        2.372     -538.748
   140   1369.000       16.506       613.103      -414.405         2.264        0.756        0.765        1.892     -538.748
   141   1369.000       13.689       521.596      -359.329         2.333        0.624        0.718        1.861     -538.748
   142   1369.000       11.680       402.598      -258.352         2.348        0.772        0.781        1.834     -538.748
   143   1369.000        9.466       109.084      -189.631         2.290        1.129        1.198        2.282     -538.748
   144   1369.000        9.360      -254.222      -612.075         2.282        1.320        1.332        1.322     -538.748
   145   1369.000        8.828        68.523      -199.088         2.263        1.423        1.495        2.248     -538.748
   146   1370.000       58.016       367.091      -348.814         2.207        0.123        0.119        2.164     -539.159
   147   1370.000       48.105        47.903      -102.295         2.239        0.129        0.128        1.570     -539.159
   148   1370.000       40.086        42.741       -97.765         2.239        0.151        0.140        1.629     -539.159
   149   1370.000       16.720        -3.509       -97.242         2.239        0.395        0.417        0.874     -539.159
   150   1370.000       15.791      -100.771       -98.049         2.238        0.408        0.418        1.360     -539.159
   151   1370.000       14.069       466.165      -349.764         2.114        0.611        0.642        1.877     -539.159
   152   1370.000       13.736       521.671      -359.299         2.150        0.528        0.597        1.466     -539.159
   153   1370.000       10.308      -253.638      -612.500         2.085        1.169        1.085        1.516     -539.159
   154   1371.000       69.773       367.273      -349.087         2.165        0.104        0.098        2.484     -539.570
   155   1371.000       48.973        46.386      -101.002         2.130        0.177        0.163        2.518     -539.570
   156   1371.000       22.327       466.022      -349.911         2.121        0.330        0.353        2.064     -539.570
   157   1371.000       15.136      -554.166        62.779         2.108        0.504        0.551        1.202     -539.570
   158   1371.000       13.501      -100.712       -98.023         2.204        0.459        0.473        1.218     -539.570
   159   1371.000       11.810       402.035      -257.838         2.122        0.651        0.667        1.505     -539.570
   160   1371.000       10.523      -463.739        70.861         2.089        0.776        0.841        1.118     -539.570
   161   1371.000        9.298      -593.014       184.078         2.049        1.098        1.081        2.101     -539.570
   162   1372.000       65.377       367.276      -349.235         1.930        0.100        0.094        2.166     -539.981
   163   1372.000       42.356        46.825      -101.393         1.908        0.178        0.162        2.460     -539.981
       magilla    MFPRT(31DEC13)     745               12-AUG-2015   13:10:39               Page    4
 Row #      Plane     Peak int      X-offset      Y-offset    Err peak i    Err X-off    Err Y-off    Resid rms     Velocity
           pixels      Jy/beam           mas           mas       Jy/beam          mas          mas           Jy         km/s
 
   164   1372.000       22.991       466.189      -350.158         1.895        0.287        0.303        1.709     -539.981
   165   1372.000       13.276      -555.586        64.267         1.824        0.679        0.803        1.295     -539.981
   166   1372.000       12.854       402.771      -258.745         1.887        0.556        0.551        1.777     -539.981
   167   1372.000       11.249      -105.653       -91.882         1.915        0.544        0.604        0.580     -539.981
   168   1372.000       10.885       -98.770      -100.456         1.968        0.488        0.515        0.784     -539.981
   169   1372.000       10.031        -4.093       -96.802         1.968        0.593        0.602        0.867     -539.981
   170   1373.000       54.557       367.451      -349.563         1.470        0.094        0.087        1.530     -540.392
   171   1373.000       34.941        46.724      -101.441         1.457        0.167        0.151        1.860     -540.392
   172   1373.000       18.784       466.052      -350.264         1.450        0.268        0.284        1.386     -540.392
   173   1373.000       12.264      -554.758        63.030         1.436        0.435        0.467        1.027     -540.392
   174   1374.000       36.897       367.206      -349.627         1.029        0.094        0.090        0.981     -540.803
   175   1374.000       25.253        46.080      -100.993         1.009        0.177        0.154        1.406     -540.803
   176   1375.000       17.609        45.530      -100.814         0.712        0.179        0.158        0.928     -541.214
   177   1375.000       16.286       367.084      -349.697         0.728        0.148        0.140        0.527     -541.214
   178   1376.000       11.079        42.491       -98.447         0.501        0.119        0.111        0.530     -541.625
   179   1376.000       10.084        47.518      -102.743         0.501        0.131        0.129        0.503     -541.625
   180   1380.000       13.962        60.519      -119.543         0.591        0.131        0.126        0.485     -543.269
   181   1381.000       31.931        60.614      -120.087         0.780        0.072        0.071        0.636     -543.679
   182   1382.000       59.955        60.321      -120.293         1.103        0.053        0.052        0.789     -544.090
   183   1383.000       94.950        60.036      -120.410         1.609        0.048        0.047        1.456     -544.501
   184   1383.000       10.920       147.726      -108.183         1.573        0.517        0.507        1.025     -544.501
   185   1384.000      138.338        59.913      -120.519         2.204        0.044        0.044        2.067     -544.912
   186   1384.000       13.532       148.062      -108.430         2.161        0.576        0.552        1.766     -544.912
   187   1384.000        9.633       -59.335       -15.900         2.044        1.041        1.096        2.332     -544.912
   188   1385.000      180.304        59.821      -120.598         2.815        0.042        0.043        2.948     -545.323
   189   1385.000       11.155       610.252      -409.469         2.613        1.218        1.237        1.807     -545.323
   190   1385.000        9.740       125.571      -213.255         2.641        1.176        1.247        2.051     -545.323
   191   1385.000        8.863       583.055      -378.411         2.632        1.438        1.319        2.024     -545.323
   192   1386.000      216.299        59.819      -120.698         3.314        0.041        0.042        3.509     -545.734
   193   1386.000        8.919        72.735      -611.832         3.011        2.919        3.014        2.129     -545.734
   194   1386.000        8.691      -554.334      -572.283         2.978        3.639        3.447        3.744     -545.734
   195   1387.000      241.602        59.870      -120.836         3.650        0.041        0.042        3.973     -546.145
   196   1387.000       18.075       125.784      -213.756         3.466        0.741        0.779        3.319     -546.145
   197   1388.000      250.824        59.884      -121.000         3.705        0.040        0.041        4.646     -546.556
   198   1388.000       18.744       126.075      -214.087         3.512        0.724        0.772        3.437     -546.556
   199   1389.000      248.286        59.969      -121.278         3.843        0.041        0.043        4.391     -546.967
   200   1390.000      239.918        60.098      -121.584         3.701        0.041        0.042        4.192     -547.378
   201   1391.000      216.579        60.242      -121.860         3.187        0.039        0.040        3.550     -547.789
   202   1391.000       10.772        22.191      -607.916         2.966        1.585        1.360        2.337     -547.789
   203   1392.000      180.004        60.281      -122.149         2.731        0.040        0.041        2.348     -548.200
   204   1392.000       11.781       582.539      -379.752         2.568        0.914        0.959        2.272     -548.200
   205   1392.000       11.141        22.238      -607.975         2.578        1.096        0.959        1.904     -548.200
   206   1392.000        8.725       126.197      -216.120         2.533        1.487        1.496        2.535     -548.200
   207   1393.000      129.195        60.364      -122.450         1.879        0.039        0.040        1.641     -548.611
   208   1393.000       15.176       146.742      -108.603         1.879        0.330        0.337        1.692     -548.611
   209   1393.000       10.546       -62.871       -15.021         1.768        0.717        0.753        1.745     -548.611
   210   1394.000       78.851        60.446      -122.703         1.201        0.041        0.042        0.986     -549.022
   211   1395.000       40.625        60.540      -123.009         0.669        0.043        0.045        0.661     -549.433
   212   1396.000       11.522        60.649      -123.721         0.587        0.126        0.127        0.390     -549.844
   213   1396.000       10.830       268.665      -257.190         0.587        0.139        0.135        0.462     -549.844
   214   1397.000       21.039       268.225      -257.215        -0.950        0.127        0.126        0.528     -550.255
   215   1398.000       24.448       267.767      -257.388         1.416        0.168        0.167        0.526     -550.666
   216   1399.000       21.880       265.918      -257.377         1.717        0.278        0.248        0.818     -551.077
   217   1399.000       12.459       216.724      -256.498         1.704        0.482        0.487        1.127     -551.077
   218   1399.000       11.413       305.745      -246.220         1.724        0.496        0.496        0.586     -551.077
       magilla    MFPRT(31DEC13)     745               12-AUG-2015   13:10:39               Page    5
 Row #      Plane     Peak int      X-offset      Y-offset    Err peak i    Err X-off    Err Y-off    Resid rms     Velocity
           pixels      Jy/beam           mas           mas       Jy/beam          mas          mas           Jy         km/s
 
   219   1399.000        9.908       353.467      -246.222         1.693        0.601        0.640        0.433     -551.077
   220   1400.000       26.575       263.440      -256.912         2.127        0.256        0.234        0.854     -551.488
   221   1400.000       15.089       215.671      -256.204         2.117        0.437        0.440        0.537     -551.488
   222   1400.000       13.096       305.100      -245.966         2.121        0.508        0.501        0.580     -551.488
   223   1400.000       10.348       352.077      -245.327         2.069        0.687        0.725        0.719     -551.488
   224   1401.000       37.850       262.556      -257.015         2.368        0.190        0.179        1.092     -551.899
   225   1401.000       17.736       351.091      -245.769         2.318        0.415        0.439        1.083     -551.899
   226   1401.000       15.604       215.848      -257.217         2.361        0.467        0.455        1.075     -551.899
   227   1402.000       54.445       261.262      -256.656         2.495        0.149        0.141        1.728     -552.310
   228   1402.000       17.098       349.071      -244.591         2.447        0.486        0.517        1.152     -552.310
   229   1402.000       12.940       214.852      -257.064         2.486        0.648        0.618        0.803     -552.310
   230   1403.000       61.933       260.349      -256.522         2.472        0.131        0.124        0.977     -552.721
   231   1403.000       13.473       347.793      -244.040         2.417        0.644        0.654        1.037     -552.721
   232   1403.000       12.694      -610.232        76.191         2.303        1.071        1.031        1.385     -552.721
   233   1404.000       42.474       258.969      -256.109         1.994        0.150        0.143        0.880     -553.132
   234   1404.000       11.964      -612.283        77.147         1.847        0.908        0.873        1.373     -553.132
   235   1404.000       11.614       124.236      -202.531         1.939        0.689        0.668        0.826     -553.132
   236   1405.000       24.371       258.114      -256.061         1.485        0.183        0.181        0.597     -553.543
   237   1405.000       19.076       121.872      -201.143         1.442        0.275        0.280        0.594     -553.543
   238   1406.000       18.557       121.629      -201.330         0.916        0.172        0.168        0.386     -553.954
   239   1407.000       18.809       124.324      -203.858         0.594        0.111        0.102        0.329     -554.365
   240   1408.000       15.204       123.157      -203.659         0.742        0.219        0.177        0.573     -554.776
   241   1409.000       17.583       120.084      -202.320         0.768        0.183        0.145        0.632     -555.187
   242   1410.000       21.857       117.885      -201.508         0.658        0.117        0.094        0.889     -555.598
   243   1411.000       28.456       116.612      -200.999         0.670        0.074        0.066        1.029     -556.009
   244   1413.000       19.297        95.354      -195.475         1.043        0.185        0.151        1.110     -556.830
   245   1414.000       65.990        91.563      -194.023         2.486        0.123        0.111        1.151     -557.241
   246   1414.000       17.413        42.831      -193.275         2.511        0.399        0.360        0.729     -557.241
   247   1414.000       13.318        86.661      -182.886         2.511        0.546        0.411        1.133     -557.241
   248   1414.000       12.807       191.138      -195.053         2.511        0.544        0.510        1.208     -557.241
   249   1414.000       10.449       263.333      -297.908         2.399        0.896        0.858        1.652     -557.241
   250   1415.000      139.219        90.408      -193.780         4.270        0.097        0.091        1.789     -557.652
   251   1415.000       30.279      -613.221       108.378         3.991        0.671        0.682        2.412     -557.652
   252   1415.000       27.135        42.806      -194.042         4.309        0.482        0.453        1.475     -557.652
   253   1415.000       24.096        86.204      -183.168         4.309        0.559        0.415        1.758     -557.652
   254   1415.000       22.312       613.927       113.370         3.930        1.438        1.169        3.156     -557.652
   255   1415.000       11.778      -339.550      -539.808         3.977        2.018        1.769        3.714     -557.652
   256   1415.000       10.744      -600.629      -560.354         3.878        3.936        3.479        4.642     -557.652
   257   1415.000        9.470      -442.161      -528.738         3.925        3.374        2.712        3.748     -557.652
   258   1415.000        8.389      -281.300      -550.593         3.877        4.451        4.366        3.734     -557.652
   259   1416.000      202.016        89.432      -193.709         5.752        0.089        0.084        3.141     -558.063
   260   1416.000       48.023      -614.323       107.807         5.363        0.572        0.551        3.651     -558.063
   261   1416.000       38.246       130.456      -182.559         5.790        0.448        0.386        2.569     -558.063
   262   1416.000       38.231        39.628      -192.267         5.790        0.447        0.407        1.622     -558.063
   263   1416.000       33.350       140.529      -194.233         5.776        0.540        0.502        2.041     -558.063
   264   1416.000       23.995       260.843      -297.253         5.590        0.841        0.814        3.344     -558.063
   265   1416.000       19.453       298.065      -283.701         5.613        0.957        1.009        3.318     -558.063
   266   1416.000       18.529       155.369      -286.499         5.452        1.307        1.257        5.028     -558.063
   267   1417.000      166.702        88.308      -193.670         5.705        0.106        0.100        2.718     -558.474
   268   1417.000       44.418       126.934      -181.462         5.734        0.361        0.306        2.172     -558.474
   269   1417.000       39.552        38.592      -192.944         5.734        0.434        0.399        2.247     -558.474
   270   1417.000       33.453       137.742      -193.634         5.709        0.549        0.500        1.952     -558.474
   271   1417.000       28.126       247.806      -283.754         5.416        0.780        0.827        5.521     -558.474
   272   1417.000       21.449       151.169      -284.624         5.383        1.145        1.062        4.835     -558.474
   273   1417.000       18.951       112.119      -295.570         5.311        1.552        1.369        4.812     -558.474
       magilla    MFPRT(31DEC13)     745               12-AUG-2015   13:10:39               Page    6
 Row #      Plane     Peak int      X-offset      Y-offset    Err peak i    Err X-off    Err Y-off    Resid rms     Velocity
           pixels      Jy/beam           mas           mas       Jy/beam          mas          mas           Jy         km/s
 
   274   1417.000       18.405       210.188      -297.673         5.337        1.402        1.348        5.004     -558.474
   275   1418.000       96.702        85.508      -193.016         4.994        0.165        0.144        3.029     -558.885
   276   1418.000       38.773       135.744      -193.665         5.011        0.321        0.315        2.331     -558.885
   277   1418.000       35.979       -12.189      -193.112         5.005        0.413        0.401        3.529     -558.885
   278   1418.000       31.517        47.967      -205.632         5.011        0.414        0.340        3.258     -558.885
   279   1418.000       28.232       148.084      -283.918         4.813        0.648        0.601        3.963     -558.885
   280   1418.000       26.545       109.599      -295.348         4.767        0.735        0.677        4.023     -558.885
   281   1418.000       24.938       180.914      -191.908         5.011        0.467        0.465        1.749     -558.885
   282   1418.000       20.587       243.220      -282.243         4.747        0.895        0.963        4.940     -558.885
   283   1418.000       20.008       -17.397      -311.623         4.812        1.078        0.836        3.654     -558.885
   284   1418.000       19.032      -451.253      -527.155         4.692        1.270        1.068        3.877     -558.885
   285   1419.000       49.511        81.412      -192.216         4.367        0.333        0.258        2.122     -559.296
   286   1419.000       44.115       120.522      -180.255         4.456        0.284        0.255        1.982     -559.296
   287   1419.000       39.402        31.359      -191.131         4.456        0.347        0.307        1.905     -559.296
   288   1419.000       26.587        43.308      -204.015         4.456        0.605        0.449        2.526     -559.296
   289   1419.000       23.351       127.578      -189.344         4.456        0.470        0.486        1.122     -559.296
   290   1419.000       19.683         8.032       -87.450         4.316        0.804        0.721        2.607     -559.296
   291   1419.000       19.407       108.292      -296.243         4.277        0.858        0.796        2.841     -559.296
   292   1419.000       18.843      -496.356        76.057         4.145        1.006        1.136        4.047     -559.296
   293   1419.000        6.147       265.073      -613.937         3.992        7.888        8.043        2.600     -559.296
   294   1420.000       49.360        75.459      -190.671         4.068        0.250        0.207        2.843     -559.707
