Header information
 
Source: G339.884-1.2
RA:   16 52  4.67        DEC: -46  8 34.22   (J2000)
OBS. DATE: 20131119          Time of record:   1/  6  7 32.9
No. channels:  1024           First channel plotted     1
Bw (kHz):      0.977
Rest freq. (MHz) :    6668.5195      Av. weight :       0.0000
 
DATA follow with format: (1X,I5,2X,I3,2X,A5,2X,F12.4,3(2X,G15.6))
 
Channel  IF  Polar     Frequency     Velocity         Real(Jy)         Imag(Jy)
   154    1  I           6669.1494     -5.73842          44.7985          0.00000
   155    1  I           6669.1504     -5.78232          44.7984          0.00000
   156    1  I           6669.1514     -5.82622          44.8082          0.00000
   157    1  I           6669.1523     -5.87012          44.8218          0.00000
   158    1  I           6669.1533     -5.91402          44.8046          0.00000
   159    1  I           6669.1543     -5.95792          44.8246          0.00000
   160    1  I           6669.1553     -6.00182          44.8334          0.00000
   161    1  I           6669.1562     -6.04572          44.7994          0.00000
   162    1  I           6669.1572     -6.08962          44.8149          0.00000
   163    1  I           6669.1582     -6.13352          44.8080          0.00000
   164    1  I           6669.1592     -6.17742          44.8427          0.00000
   165    1  I           6669.1602     -6.22131          44.8367          0.00000
   166    1  I           6669.1611     -6.26521          44.8357          0.00000
   167    1  I           6669.1621     -6.30911          44.8240          0.00000
   168    1  I           6669.1631     -6.35301          44.8270          0.00000
   169    1  I           6669.1641     -6.39691          44.8216          0.00000
   170    1  I           6669.1650     -6.44081          44.8453          0.00000
   171    1  I           6669.1660     -6.48471          44.8285          0.00000
   172    1  I           6669.1670     -6.52861          44.8250          0.00000
   173    1  I           6669.1680     -6.57251          44.8426          0.00000
   174    1  I           6669.1689     -6.61641          44.8417          0.00000
   175    1  I           6669.1699     -6.66031          44.8422          0.00000
   176    1  I           6669.1709     -6.70421          44.8499          0.00000
   177    1  I           6669.1719     -6.74811          44.8463          0.00000
   178    1  I           6669.1729     -6.79201          44.8399          0.00000
   179    1  I           6669.1738     -6.83591          44.8565          0.00000
   180    1  I           6669.1748     -6.87981          44.8547          0.00000
   181    1  I           6669.1758     -6.92371          44.8358          0.00000
   182    1  I           6669.1768     -6.96760          44.8462          0.00000
   183    1  I           6669.1777     -7.01150          44.8519          0.00000
   184    1  I           6669.1787     -7.05540          44.8563          0.00000
   185    1  I           6669.1797     -7.09930          44.8744          0.00000
   186    1  I           6669.1807     -7.14320          44.8471          0.00000
   187    1  I           6669.1816     -7.18710          44.8853          0.00000
   188    1  I           6669.1826     -7.23100          44.8975          0.00000
   189    1  I           6669.1836     -7.27490          44.8845          0.00000
   190    1  I           6669.1846     -7.31880          44.8790          0.00000
