       magilla    MFPRT(31DEC13)     745               09-NOV-2015   22:15:35               Page    1
 Row #      Plane     Peak int      X-offset      Y-offset     Err peak    Err X-off    Err Y-off    Resid rms     Velocity
           pixels      Jy/beam           mas           mas      Jy/beam          mas          mas           Jy         km/s
 
*****   MF file version = 1    V255X LINE2 .ICL001. 1   *****
 
   168     77.000        0.068       -29.865       -43.132        0.016        1.022        0.715        0.025     -511.771
   169     77.000        0.053       343.337      -611.351        0.016        1.317        0.923        0.017     -511.771
   170     77.000        0.050       327.946      -610.966        0.016        1.398        0.979        0.020     -511.771
   171     78.000        4.036       -26.930       -35.597        0.029        0.031        0.021        0.080     -512.224
   172     78.000        0.100        68.094      -610.489        0.029        1.342        0.940        0.020     -512.224
   173     78.000        0.044        69.695      -602.420        0.029        2.825        1.978        0.028     -512.224
   174     79.000        6.826       -26.791       -35.439        0.048        0.030        0.021        0.142     -512.676
   175     79.000        0.433       147.616       610.732        0.048        0.476        0.333        0.027     -512.676
   176     79.000        0.402       156.447       609.585        0.047        0.559        0.391        0.025     -512.676
   177     79.000        0.129      -264.841      -610.437        0.048        1.596        1.118        0.034     -512.676
   178     79.000        0.107       -52.919      -613.740        0.048        1.918        1.343        0.029     -512.676
   179     79.000        0.098       -63.857      -610.363        0.048        2.096        1.468        0.035     -512.676
   180     80.000        9.247       -26.738       -35.381        0.063        0.029        0.020        0.148     -513.129
   181     80.000        0.636       -33.451       -40.235        0.063        0.425        0.298        0.137     -513.129
   182     80.000        0.437       155.990       609.018        0.062        0.675        0.473        0.038     -513.129
   183     80.000        0.354       148.453       611.211        0.063        0.763        0.534        0.031     -513.129
   184     80.000        0.130       492.572      -609.945        0.063        2.076        1.453        0.048     -513.129
   185     80.000        0.120       224.806      -613.468        0.063        2.257        1.581        0.028     -513.129
   186     80.000        0.095       287.964      -611.784        0.063        2.840        1.989        0.035     -513.129
   187     80.000        0.095       505.141      -613.755        0.063        2.860        2.003        0.047     -513.129
   188     80.000        0.084       215.926      -606.534        0.063        3.236        2.266        0.050     -513.129
   189     80.000        0.058       276.992      -613.798        0.062        5.092        3.566        0.030     -513.129
   190     81.000       11.333       -26.741       -35.495        0.077        0.029        0.020        0.409     -513.581
   191     81.000        0.590       155.897       608.956        0.076        0.608        0.425        0.039     -513.581
   192     81.000        0.350       148.622       611.070        0.077        0.942        0.659        0.040     -513.581
   193     81.000        0.181       507.268      -612.133        0.077        1.817        1.272        0.049     -513.581
   194     81.000        0.179       430.177      -613.539        0.077        1.837        1.286        0.033     -513.581
   195     81.000        0.126       413.978      -602.697        0.077        2.622        1.836        0.049     -513.581
   196     81.000        0.105       424.383      -605.681        0.077        3.144        2.201        0.035     -513.581
   197     82.000       11.741       -26.719       -35.595        0.098        0.039        0.028        0.334     -514.034
   198     82.000        2.929       -30.874       -42.998        0.099        0.145        0.102        0.295     -514.034
   199     82.000        0.497       612.442      -368.733        0.098        0.932        0.653        0.096     -514.034
   200     82.000        0.205       599.739      -366.727        0.099        2.072        1.450        0.075     -514.034
   201     83.000       12.855       -26.961       -35.768        0.123        0.045        0.032        0.444     -514.487
   202     83.000        6.525       -31.154       -43.313        0.124        0.082        0.057        0.414     -514.487
   203     83.000        0.684       611.498      -489.808        0.124        0.779        0.546        0.118     -514.487
   204     83.000        0.677      -611.771      -491.918        0.124        0.787        0.551        0.087     -514.487
   205     83.000        0.531       609.404         7.760        0.124        1.003        0.702        0.116     -514.487
   206     83.000        0.410       598.396        10.947        0.123        1.415        0.991        0.123     -514.487
   207     83.000        0.141       601.019         5.131        0.124        3.780        2.646        0.099     -514.487
   208     84.000       14.161       -26.813       -35.765        0.149        0.045        0.032        0.644     -514.939
   209     84.000       11.259       -30.997       -43.427        0.149        0.057        0.040        0.636     -514.939
   210     84.000        0.710       610.674      -489.979        0.149        0.905        0.633        0.142     -514.939
   211     84.000        0.658      -611.562      -492.435        0.149        0.976        0.684        0.102     -514.939
   212     84.000        0.464      -612.749      -452.036        0.149        1.383        0.968        0.124     -514.939
   213     84.000        0.396       612.367      -567.348        0.149        1.620        1.134        0.130     -514.939
   214     84.000        0.350       603.165      -561.141        0.148        1.997        1.398        0.129     -514.939
   215     84.000        0.341      -602.348      -456.862        0.148        2.050        1.435        0.122     -514.939
   216     85.000       15.635       -31.115       -43.636        0.169        0.046        0.032        0.764     -515.392
   217     85.000       13.718       -26.755       -35.839        0.169        0.053        0.037        0.787     -515.392
   218     85.000        0.812      -612.120      -493.053        0.169        0.893        0.626        0.126     -515.392
       magilla    MFPRT(31DEC13)     745               09-NOV-2015   22:15:35               Page    5
 Row #      Plane     Peak int      X-offset      Y-offset     Err peak    Err X-off    Err Y-off    Resid rms     Velocity
           pixels      Jy/beam           mas           mas      Jy/beam          mas          mas           Jy         km/s
 
   219     85.000        0.479       426.090      -611.407        0.169        1.516        1.062        0.142     -515.392
   220     85.000        0.419       212.565      -609.074        0.169        1.730        1.211        0.111     -515.392
   221     85.000        0.343       204.193      -607.257        0.167        2.308        1.616        0.125     -515.392
   222     85.000        0.200       198.650      -612.721        0.169        3.628        2.540        0.120     -515.392
   223     86.000       17.938       -31.195       -43.796        0.171        0.041        0.029        0.860     -515.844
   224     86.000       12.254       -26.960       -35.972        0.171        0.060        0.042        0.863     -515.844
   225     86.000        0.573       508.494      -589.352        0.171        1.284        0.899        0.141     -515.844
   226     86.000        0.531       520.117      -595.055        0.171        1.386        0.971        0.097     -515.844
   227     86.000        0.440       204.973      -608.812        0.171        1.675        1.173        0.136     -515.844
   228     86.000        0.328       214.744      -609.376        0.171        2.248        1.574        0.125     -515.844
   229     86.000        0.274       518.947      -587.737        0.171        2.692        1.885        0.167     -515.844
   230     87.000       18.914       -31.145       -44.027        0.184        0.042        0.029        0.835     -516.297
   231     87.000        9.806       -26.870       -36.046        0.184        0.081        0.056        0.846     -516.297
   232     87.000        0.906       -46.502       -13.285        0.184        0.872        0.610        0.171     -516.297
   233     87.000        0.684       -15.523       -18.659        0.184        1.156        0.810        0.210     -516.297
   234     87.000        0.455       209.049      -609.717        0.184        1.738        1.217        0.135     -516.297
   235     87.000        0.447       198.345      -609.283        0.184        1.767        1.237        0.133     -516.297
   236     88.000       19.187       -31.300       -44.214        0.176        0.039        0.028        0.800     -516.749
   237     88.000        7.083       -26.667       -36.309        0.176        0.107        0.075        0.817     -516.749
   238     88.000        1.739       -14.658       -18.032        0.176        0.435        0.305        0.172     -516.749
   239     88.000        0.268       -24.061       -19.993        0.175        3.080        2.156        0.258     -516.749
   240     89.000       18.524       -31.330       -44.504        0.192        0.045        0.031        0.597     -517.202
   241     89.000        4.746       -26.295       -35.809        0.192        0.174        0.122        0.618     -517.202
   242     89.000        4.185       -14.562       -17.585        0.192        0.197        0.138        0.173     -517.202
   243     89.000        0.557       445.733      -554.450        0.192        1.480        1.037        0.162     -517.202
   244     89.000        0.476       588.643      -519.010        0.192        1.732        1.213        0.160     -517.202
   245     89.000        0.456       435.537      -547.809        0.190        1.975        1.383        0.186     -517.202
   246     89.000        0.416       598.449      -525.635        0.192        1.984        1.389        0.140     -517.202
   247     89.000        0.349       607.215      -529.963        0.192        2.368        1.658        0.147     -517.202
   248     89.000        0.273       433.615      -553.259        0.192        3.018        2.114        0.184     -517.202
   249     90.000       15.603       -31.412       -44.754        0.172        0.047        0.033        0.380     -517.654
   250     90.000        7.280       -14.173       -17.182        0.172        0.102        0.071        0.258     -517.654
   251     90.000        2.958       -26.402       -35.697        0.172        0.250        0.175        0.402     -517.654
   252     90.000        0.684      -610.191      -496.108        0.172        1.082        0.758        0.179     -517.654
   253     91.000       11.802       -31.408       -44.970        0.167        0.061        0.043        0.239     -518.107
   254     91.000        8.457       -14.111       -17.076        0.166        0.093        0.065        0.166     -518.107
   255     91.000        2.186        -8.514       -12.713        0.167        0.328        0.230        0.179     -518.107
   256     91.000        1.397       -26.191       -36.054        0.167        0.514        0.360        0.259     -518.107
   257     91.000        0.916       -40.332        82.086        0.167        0.784        0.549        0.092     -518.107
   258     91.000        0.835      -613.679      -456.749        0.166        0.937        0.656        0.100     -518.107
   259     91.000        0.516      -610.580      -496.475        0.167        1.391        0.974        0.159     -518.107
   260     91.000        0.462       -33.103        81.591        0.166        1.695        1.187        0.108     -518.107
   261     91.000        0.303      -602.006      -462.106        0.167        2.372        1.661        0.122     -518.107
   262     92.000        9.943       -13.926       -17.005        0.151        0.072        0.050        0.200     -518.559
   263     92.000        7.370       -31.347       -45.121        0.152        0.089        0.062        0.207     -518.559
   264     92.000        3.812        -8.479       -12.764        0.152        0.172        0.120        0.202     -518.559
   265     92.000        1.035       -37.607        81.474        0.152        0.631        0.442        0.090     -518.559
   266     92.000        0.894      -613.328      -456.937        0.151        0.797        0.558        0.143     -518.559
   267     92.000        0.505         7.132      -499.329        0.151        1.411        0.988        0.120     -518.559
   268     92.000        0.446       182.356      -598.369        0.151        1.598        1.119        0.142     -518.559
   269     92.000        0.413       173.149      -595.000        0.152        1.581        1.107        0.133     -518.559
   270     92.000        0.413      -601.742      -461.119        0.152        1.583        1.108        0.136     -518.559
   271     92.000        0.301        16.950      -503.141        0.152        2.171        1.520        0.099     -518.559
   272     92.000        0.284       -30.380        80.751        0.151        2.513        1.759        0.103     -518.559
   273     93.000        9.935       -13.528       -16.931        0.127        0.060        0.042        0.194     -519.012
       magilla    MFPRT(31DEC13)     745               09-NOV-2015   22:15:35               Page    6
 Row #      Plane     Peak int      X-offset      Y-offset     Err peak    Err X-off    Err Y-off    Resid rms     Velocity
           pixels      Jy/beam           mas           mas      Jy/beam          mas          mas           Jy         km/s
 
   274     93.000        5.618        -8.567       -12.741        0.128        0.098        0.068        0.195     -519.012
   275     93.000        2.101       -29.714       -45.477        0.128        0.261        0.183        0.118     -519.012
   276     93.000        1.665       -33.240       -45.029        0.127        0.359        0.251        0.105     -519.012
   277     93.000        0.871       -37.419        81.078        0.128        0.630        0.441        0.066     -519.012
   278     93.000        0.665       613.264      -151.590        0.127        0.899        0.629        0.087     -519.012
   279     93.000        0.584       612.279      -454.938        0.127        1.024        0.717        0.104     -519.012
   280     93.000        0.506         0.374      -306.658        0.127        1.183        0.828        0.094     -519.012
   281     93.000        0.462        29.966      -400.411        0.127        1.294        0.906        0.097     -519.012
   282     93.000        0.434        22.196      -398.079        0.128        1.264        0.885        0.089     -519.012
   283     93.000        0.307       599.678      -450.264        0.128        1.790        1.253        0.122     -519.012
   284     93.000        0.242       600.902      -148.264        0.128        2.271        1.590        0.085     -519.012
   285     93.000        0.227        -7.865      -303.516        0.128        2.414        1.690        0.099     -519.012
   286     93.000        0.205       -31.724        80.407        0.127        2.912        2.039        0.079     -519.012
   287     94.000        8.710       -13.033       -16.858        0.111        0.060        0.042        0.166     -519.464
   288     94.000        6.501        -8.525       -12.821        0.112        0.074        0.052        0.168     -519.464
   289     94.000        0.589      -612.468      -113.210        0.111        0.889        0.623        0.094     -519.464
   290     94.000        0.587      -614.221        38.918        0.111        0.892        0.624        0.119     -519.464
   291     94.000        0.347      -600.119      -117.935        0.112        1.385        0.970        0.120     -519.464
   292     94.000        0.223      -601.854        36.177        0.112        2.159        1.512        0.084     -519.464
   293     95.000        0.228       257.210      -600.653        0.088        1.645        1.152        0.053     -519.917
   294     95.000        0.207       270.448      -604.745        0.088        1.816        1.272        0.053     -519.917
   295     95.000        0.194       278.052      -612.000        0.088        1.932        1.353        0.047     -519.917
   296     95.000        0.163       262.735      -608.754        0.088        2.311        1.618        0.034     -519.917
