Header information
 
Source: G305.200+0.0
RA:   13 11 16.89        DEC: -62 45 54.99   (J2000)
OBS. DATE: 20150327          Time of record:   0/ 17 23 31.0
No. channels:   281           First channel plotted  1100
Bw (kHz):     10.067
Rest freq. (MHz) :    6668.5195      Av. weight :       0.0056
 
DATA follow with format: (1X,I5,2X,I3,2X,A5,2X,F12.4,3(2X,G15.6))
 
Channel  IF  Polar     Frequency     Velocity         Real(Jy)         Imag(Jy)
  1276    1  I           6681.8360     -557.025          1.05669          0.00000
  1277    1  I           6681.8461     -557.477          1.05732          0.00000
  1278    1  I           6681.8562     -557.930          1.05642          0.00000
  1279    1  I           6681.8662     -558.382          1.05672          0.00000
  1280    1  I           6681.8763     -558.835          1.05556          0.00000
  1281    1  I           6681.8864     -559.287          1.05620          0.00000
  1282    1  I           6681.8964     -559.740          1.05620          0.00000
  1283    1  I           6681.9065     -560.192          1.05617          0.00000
  1284    1  I           6681.9166     -560.645          1.05598          0.00000
  1285    1  I           6681.9266     -561.098          1.05554          0.00000
  1286    1  I           6681.9367     -561.550          1.05569          0.00000
  1287    1  I           6681.9468     -562.003          1.05474          0.00000
  1288    1  I           6681.9568     -562.455          1.05502          0.00000
  1289    1  I           6681.9669     -562.908          1.05527          0.00000
  1290    1  I           6681.9770     -563.360          1.05511          0.00000
  1291    1  I           6681.9870     -563.813          1.05640          0.00000
  1292    1  I           6681.9971     -564.265          1.05591          0.00000
  1293    1  I           6682.0072     -564.718          1.05671          0.00000
  1294    1  I           6682.0172     -565.170          1.05761          0.00000
  1295    1  I           6682.0273     -565.623          1.05808          0.00000
  1296    1  I           6682.0374     -566.075          1.05822          0.00000
  1297    1  I           6682.0474     -566.528          1.05892          0.00000
  1298    1  I           6682.0575     -566.980          1.05870          0.00000
  1299    1  I           6682.0676     -567.433          1.05822          0.00000
  1300    1  I           6682.0776     -567.885          1.05771          0.00000
  1301    1  I           6682.0877     -568.338          1.05701          0.00000
  1302    1  I           6682.0978     -568.791          1.05561          0.00000
  1303    1  I           6682.1078     -569.243          1.05630          0.00000
  1304    1  I           6682.1179     -569.696          1.05512          0.00000
  1305    1  I           6682.1280     -570.148          1.05461          0.00000
  1306    1  I           6682.1380     -570.601          1.05427          0.00000
  1307    1  I           6682.1481     -571.053          1.05336          0.00000
  1308    1  I           6682.1582     -571.506          1.05381          0.00000
  1309    1  I           6682.1683     -571.958          1.05338          0.00000
  1310    1  I           6682.1783     -572.411          1.05375          0.00000
  1311    1  I           6682.1884     -572.863          1.05295          0.00000
  1312    1  I           6682.1985     -573.316          1.05364          0.00000
  1313    1  I           6682.2085     -573.768          1.05333          0.00000
  1314    1  I           6682.2186     -574.221          1.05381          0.00000
  1315    1  I           6682.2287     -574.674          1.05438          0.00000
  1316    1  I           6682.2387     -575.126          1.05462          0.00000
  1317    1  I           6682.2488     -575.579          1.05551          0.00000
  1318    1  I           6682.2589     -576.031          1.05457          0.00000
  1319    1  I           6682.2689     -576.484          1.05490          0.00000
  1320    1  I           6682.2790     -576.936          1.05582          0.00000
  1321    1  I           6682.2891     -577.389          1.05599          0.00000
  1322    1  I           6682.2991     -577.841          1.05635          0.00000
  1323    1  I           6682.3092     -578.294          1.05781          0.00000
  1324    1  I           6682.3193     -578.746          1.05914          0.00000
  1325    1  I           6682.3293     -579.199          1.05910          0.00000
  1326    1  I           6682.3394     -579.651          1.05943          0.00000
  1327    1  I           6682.3495     -580.104          1.05962          0.00000
  1328    1  I           6682.3595     -580.556          1.06076          0.00000
  1329    1  I           6682.3696     -581.009          1.05971          0.00000
  1330    1  I           6682.3797     -581.462          1.05908          0.00000
  1331    1  I           6682.3897     -581.914          1.05900          0.00000
  1332    1  I           6682.3998     -582.367          1.05813          0.00000
  1333    1  I           6682.4099     -582.819          1.05707          0.00000
  1334    1  I           6682.4199     -583.272          1.05627          0.00000
  1335    1  I           6682.4300     -583.724          1.05495          0.00000
  1336    1  I           6682.4401     -584.177          1.05334          0.00000
  1337    1  I           6682.4501     -584.629          1.05152          0.00000
  1338    1  I           6682.4602     -585.082          1.05071          0.00000
  1339    1  I           6682.4703     -585.534          1.04995          0.00000
  1340    1  I           6682.4803     -585.987          1.04921          0.00000
  1341    1  I           6682.4904     -586.439          1.04902          0.00000
  1342    1  I           6682.5005     -586.892          1.04869          0.00000
  1343    1  I           6682.5105     -587.344          1.04898          0.00000
  1344    1  I           6682.5206     -587.797          1.04807          0.00000
  1345    1  I           6682.5307     -588.250          1.04837          0.00000
  1346    1  I           6682.5407     -588.702          1.04806          0.00000
  1347    1  I           6682.5508     -589.155          1.04854          0.00000
  1348    1  I           6682.5609     -589.607          1.04921          0.00000
  1349    1  I           6682.5709     -590.060          1.04797          0.00000
  1350    1  I           6682.5810     -590.512          1.04792          0.00000
  1351    1  I           6682.5911     -590.965          1.04806          0.00000
  1352    1  I           6682.6012     -591.417          1.04811          0.00000
  1353    1  I           6682.6112     -591.870          1.04801          0.00000
  1354    1  I           6682.6213     -592.322          1.04772          0.00000
  1355    1  I           6682.6314     -592.775          1.04730          0.00000
  1356    1  I           6682.6414     -593.227          1.04688          0.00000
  1357    1  I           6682.6515     -593.680          1.04670          0.00000
  1358    1  I           6682.6616     -594.133          1.04621          0.00000
  1359    1  I           6682.6716     -594.585          1.04603          0.00000
  1360    1  I           6682.6817     -595.038          1.04626          0.00000
  1361    1  I           6682.6918     -595.490          1.04635          0.00000
  1362    1  I           6682.7018     -595.943          1.04578          0.00000
  1363    1  I           6682.7119     -596.395          1.04559          0.00000
  1364    1  I           6682.7220     -596.848          1.04541          0.00000
  1365    1  I           6682.7320     -597.300          1.04565          0.00000
  1366    1  I           6682.7421     -597.753          1.04518          0.00000
  1367    1  I           6682.7522     -598.205          1.04513          0.00000
  1368    1  I           6682.7622     -598.658          1.04495          0.00000
  1369    1  I           6682.7723     -599.110          1.04527          0.00000
  1370    1  I           6682.7824     -599.563          1.04420          0.00000
  1371    1  I           6682.7924     -600.015          1.04488          0.00000
  1372    1  I           6682.8025     -600.468          1.04502          0.00000
  1373    1  I           6682.8126     -600.921          1.04509          0.00000
  1374    1  I           6682.8226     -601.373          1.04469          0.00000
  1375    1  I           6682.8327     -601.826          1.04628          0.00000
  1376    1  I           6682.8428     -602.278          1.04547          0.00000
  1377    1  I           6682.8528     -602.731          1.04553          0.00000
  1378    1  I           6682.8629     -603.183          1.04579          0.00000
  1379    1  I           6682.8730     -603.636          1.04557          0.00000
  1380    1  I           6682.8830     -604.088          1.04508          0.00000
