Header information
 
Source: G305.200+0.0
RA:   13 11 16.89        DEC: -62 45 54.99   (J2000)
OBS. DATE: 20130318          Time of record:   0/ 14 25  0.2
No. channels:   281           First channel plotted  1100
Bw (kHz):     10.067
Rest freq. (MHz) :    6668.5195      Av. weight :      38.1274
 
DATA follow with format: (1X,I5,2X,I3,2X,A5,2X,F12.4,3(2X,G15.6))
 
Channel  IF  Polar     Frequency     Velocity         Real(Jy)         Imag(Jy)
  1260    1  I           6681.6749     -549.784         0.993875          0.00000
  1261    1  I           6681.6850     -550.237         0.993755          0.00000
  1262    1  I           6681.6951     -550.689         0.993935          0.00000
  1263    1  I           6681.7051     -551.142         0.993878          0.00000
  1264    1  I           6681.7152     -551.594         0.993035          0.00000
  1265    1  I           6681.7253     -552.047         0.992795          0.00000
  1266    1  I           6681.7353     -552.499         0.992971          0.00000
  1267    1  I           6681.7454     -552.952         0.993030          0.00000
  1268    1  I           6681.7555     -553.404         0.993109          0.00000
  1269    1  I           6681.7656     -553.857         0.992997          0.00000
  1270    1  I           6681.7756     -554.310         0.992758          0.00000
  1271    1  I           6681.7857     -554.762         0.993192          0.00000
  1272    1  I           6681.7958     -555.215         0.992782          0.00000
  1273    1  I           6681.8058     -555.667         0.993277          0.00000
  1274    1  I           6681.8159     -556.120         0.993550          0.00000
  1275    1  I           6681.8260     -556.572         0.993391          0.00000
  1276    1  I           6681.8360     -557.025         0.993096          0.00000
  1277    1  I           6681.8461     -557.477         0.993015          0.00000
  1278    1  I           6681.8562     -557.930         0.993341          0.00000
  1279    1  I           6681.8662     -558.382         0.993418          0.00000
  1280    1  I           6681.8763     -558.835         0.993449          0.00000
  1281    1  I           6681.8864     -559.287         0.993530          0.00000
  1282    1  I           6681.8964     -559.740         0.992866          0.00000
  1283    1  I           6681.9065     -560.192         0.992650          0.00000
  1284    1  I           6681.9166     -560.645         0.993225          0.00000
  1285    1  I           6681.9266     -561.098         0.992959          0.00000
  1286    1  I           6681.9367     -561.550         0.992860          0.00000
  1287    1  I           6681.9468     -562.003         0.992986          0.00000
  1288    1  I           6681.9568     -562.455         0.993078          0.00000
  1289    1  I           6681.9669     -562.908         0.993773          0.00000
  1290    1  I           6681.9770     -563.360         0.993998          0.00000
  1291    1  I           6681.9870     -563.813         0.995708          0.00000
  1292    1  I           6681.9971     -564.265         0.998873          0.00000
  1293    1  I           6682.0072     -564.718          1.00321          0.00000
  1294    1  I           6682.0172     -565.170          1.00821          0.00000
