       magilla    MFPRT(31DEC13)     745               09-NOV-2015   22:15:34               Page    1
 Row #      Plane     Peak int      X-offset      Y-offset     Err peak    Err X-off    Err Y-off    Resid rms     Velocity
           pixels      Jy/beam           mas           mas      Jy/beam          mas          mas           Jy         km/s
 
*****   MF file version = 1    V255T LINE2 .ICL001. 1   *****
 
   102     54.000        0.026      -232.180      -593.049        0.012        1.577        1.174        0.017     -458.639
   103     55.000        0.048      -468.856      -613.070        0.013        0.959        0.714        0.018     -459.055
   104     55.000        0.045      -333.250      -613.157        0.013        1.012        0.754        0.014     -459.055
   105     55.000        0.027      -470.208      -604.168        0.013        1.705        1.269        0.017     -459.055
   106     56.000        0.032        75.568      -583.306        0.014        1.479        1.101        0.017     -459.470
   107     57.000        0.024      -398.472      -542.159        0.013        1.788        1.332        0.015     -459.886
   108     58.000        0.031      -606.827      -606.276        0.013        1.479        1.102        0.015     -460.301
       magilla    MFPRT(31DEC13)     745               09-NOV-2015   22:15:34               Page    3
 Row #      Plane     Peak int      X-offset      Y-offset     Err peak    Err X-off    Err Y-off    Resid rms     Velocity
           pixels      Jy/beam           mas           mas      Jy/beam          mas          mas           Jy         km/s
 
   109     59.000        0.047       282.179      -613.205        0.012        0.911        0.678        0.014     -460.717
   110     59.000        0.037      -501.960      -611.166        0.012        1.156        0.861        0.014     -460.717
   111     59.000        0.031      -352.265      -567.736        0.012        1.367        1.018        0.013     -460.717
   112     60.000        0.041       524.436      -588.535        0.012        1.007        0.750        0.013     -461.132
   113     60.000        0.035      -205.272      -583.794        0.012        1.181        0.879        0.012     -461.132
   114     61.000        0.026       175.275      -472.716        0.013        1.667        1.241        0.013     -461.548
   115     62.000        0.026       108.229      -584.142        0.013        1.748        1.302        0.016     -461.963
   116     63.000        0.047      -249.783      -613.443        0.013        0.965        0.718        0.014     -462.378
   117     63.000        0.034      -505.172      -605.347        0.013        1.315        0.979        0.018     -462.378
   118     63.000        0.032      -499.482      -613.360        0.013        1.421        1.058        0.013     -462.378
   119     63.000        0.026       339.252      -602.304        0.013        1.735        1.292        0.014     -462.378
   120     64.000        0.042       157.178      -604.794        0.013        1.034        0.770        0.016     -462.794
   121     64.000        0.030       160.019      -613.970        0.013        1.441        1.073        0.015     -462.794
   122     64.000        0.024      -283.330      -562.636        0.013        1.830        1.363        0.016     -462.794
   123     65.000        0.088       -68.497       -45.941        0.013        0.560        0.417        0.019     -463.209
   124     65.000        0.059       -76.066       -50.227        0.013        0.761        0.567        0.029     -463.209
   125     65.000        0.052       495.044      -611.402        0.013        0.869        0.647        0.014     -463.209
   126     65.000        0.024      -534.328      -610.164        0.013        1.846        1.375        0.014     -463.209
   127     66.000        0.125       -74.364       -50.352        0.013        0.364        0.271        0.036     -463.625
   128     66.000        0.102       -68.301       -44.954        0.013        0.446        0.332        0.018     -463.625
   129     66.000        0.037       340.355      -609.014        0.013        1.224        0.911        0.016     -463.625
   130     66.000        0.034      -511.164      -608.236        0.013        1.344        1.001        0.015     -463.625
   131     67.000        0.256       -73.059       -49.238        0.013        0.196        0.146        0.016     -464.040
   132     67.000        0.160       -68.676       -44.782        0.013        0.288        0.214        0.017     -464.040
   133     67.000        0.099       -77.375       -56.068        0.013        0.463        0.345        0.016     -464.040
   134     67.000        0.026       310.153      -603.528        0.013        1.746        1.300        0.017     -464.040
   135     68.000        0.032       305.064      -611.680        0.012        1.295        0.964        0.018     -464.456
   136     69.000        0.620       -73.429       -49.503        0.013        0.079        0.059        0.018     -464.871
   137     69.000        0.206       -68.606       -44.512        0.013        0.218        0.163        0.015     -464.871
   138     69.000        0.043       -54.022      -609.268        0.013        1.042        0.776        0.017     -464.871
   139     70.000        0.669       -73.463       -49.081        0.014        0.076        0.057        0.013     -465.287
   140     70.000        0.153       -70.165       -45.457        0.014        0.306        0.228        0.012     -465.287
   141     70.000        0.074      -612.772      -611.591        0.014        0.633        0.471        0.017     -465.287
   142     70.000        0.037      -602.509      -605.578        0.014        1.379        1.027        0.015     -465.287
   143     70.000        0.026       285.706      -602.010        0.014        1.782        1.327        0.015     -465.287
   144     71.000        0.754       -72.876       -48.683        0.014        0.062        0.046        0.029     -465.702
   145     71.000        0.052       500.415      -612.418        0.014        0.896        0.667        0.017     -465.702
   146     71.000        0.037      -313.153      -604.831        0.014        1.272        0.947        0.017     -465.702
   147     71.000        0.029       494.839      -605.133        0.014        1.607        1.196        0.019     -465.702
   148     72.000        0.617       -72.588       -48.164        0.014        0.075        0.056        0.027     -466.117
   149     72.000        0.041       609.647      -591.492        0.014        1.126        0.839        0.019     -466.117
   150     72.000        0.033      -471.599      -606.580        0.014        1.406        1.047        0.016     -466.117
   151     72.000        0.032       598.324      -595.851        0.014        1.436        1.069        0.018     -466.117
   152     73.000        0.493       -72.374       -48.069        0.013        0.094        0.070        0.022     -466.533
   153     73.000        0.029      -507.400      -539.256        0.013        1.603        1.193        0.014     -466.533
   154     73.000        0.029       114.815      -473.744        0.013        1.606        1.196        0.014     -466.533
   155     74.000        0.342       -72.055       -47.827        0.014        0.138        0.103        0.015     -466.948
   156     74.000        0.032        46.666      -603.642        0.014        1.455        1.083        0.015     -466.948
   157     75.000        0.245       -27.090       -35.694        0.013        0.187        0.139        0.020     -467.364
   158     75.000        0.161       -72.030       -47.164        0.013        0.284        0.212        0.017     -467.364
   159     75.000        0.034        66.066      -582.072        0.013        1.367        1.018        0.016     -467.364
   160     76.000        0.585       -26.832       -35.430        0.014        0.080        0.059        0.034     -467.779
   161     77.000        1.734       -26.834       -35.462        0.014        0.027        0.020        0.038     -468.195
   162     77.000        0.019       485.665      -609.301        0.014        2.526        1.881        0.017     -468.195
   163     78.000        3.815       -26.652       -35.347        0.016        0.015        0.011        0.031     -468.610
       magilla    MFPRT(31DEC13)     745               09-NOV-2015   22:15:34               Page    4
 Row #      Plane     Peak int      X-offset      Y-offset     Err peak    Err X-off    Err Y-off    Resid rms     Velocity
           pixels      Jy/beam           mas           mas      Jy/beam          mas          mas           Jy         km/s
 
   164     78.000        0.191       -32.700       -41.688        0.016        0.296        0.221        0.028     -468.610
   165     78.000        0.110       -44.815        -3.965        0.016        0.513        0.382        0.024     -468.610
   166     78.000        0.100        76.850       -60.388        0.016        0.566        0.421        0.022     -468.610
   167     78.000        0.095      -135.916       -14.580        0.016        0.596        0.444        0.018     -468.610
   168     79.000        6.323       -26.510       -35.185        0.021        0.011        0.008        0.047     -469.026
   169     79.000        0.303       -32.786       -42.337        0.021        0.236        0.176        0.039     -469.026
   170     79.000        0.142        75.922       -60.068        0.021        0.505        0.376        0.024     -469.026
   171     79.000        0.108       -80.553      -105.867        0.021        0.667        0.496        0.018     -469.026
   172     79.000        0.097      -606.786       -96.449        0.021        0.741        0.552        0.025     -469.026
   173     79.000        0.080       -73.824      -109.749        0.021        0.896        0.668        0.017     -469.026
   174     79.000        0.073        89.620       -83.259        0.021        0.983        0.732        0.021     -469.026
   175     80.000        8.831       -26.423       -35.061        0.027        0.010        0.008        0.148     -469.441
   176     80.000        0.103       592.969      -597.971        0.027        0.896        0.667        0.027     -469.441
   177     80.000        0.101       587.425      -591.377        0.027        0.913        0.680        0.020     -469.441
   178     80.000        0.073       411.638      -594.414        0.027        1.266        0.943        0.028     -469.441
   179     81.000       11.226       -26.316       -35.034        0.034        0.010        0.008        0.075     -469.857
   180     81.000        1.079       -32.451       -43.261        0.034        0.108        0.080        0.063     -469.857
   181     81.000        0.057      -281.518      -608.515        0.034        2.046        1.524        0.029     -469.857
